Dur,End,File/Spkr,MaxFormants,Notes,NumberPoles,Start,Unnamed: 0,Unnamed: 0.1,Vowel,dob,file_name,gF1,gF2,gF3,gPitch,gTime,gender,gilbert_number,id,input_form,iver_number,location,oF1,oF2,oF3,oPitch,oTime,post_sound,pre_sound,speaker_number,target_form,transcription,variable
0.099,0.493,102-395-2-1-a,5500 Hz,NA,10,0.394,12,12,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/102-395-2-1-a.wav,448.58,1478.11,1987.61,168.83,0.46,m,1,102-395-2-1-a.wav,a hairbrush ,102,converse,410.53,1692.38,2046.97,151.65,0.427,?,b,395,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,13,13,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/60-445-2-1-a.wav,NA,NA,NA,NA,NA,f,1,60-445-2-1-a.wav,a hairbrush ,60,"converse, tx",NA,NA,NA,NA,NA,?,b,445,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,14,14,NA,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-114-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-114-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,?,b,114,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,15,15,NA,1959,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-179-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-179-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,?,b,179,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,16,16,NA,1940,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-183-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-183-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,?,b,183,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,17,17,NA,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-56-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-56-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,?,b,56,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,18,18,NA,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-176-1-1-a.wav,NA,NA,NA,NA,NA,m,1,17-176-1-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,?,b,176,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,19,19,NA,1934,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-177-1-1-a.wav,NA,NA,NA,NA,NA,m,1,17-177-1-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,?,b,177,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,20,20,NA,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-178-2-1-a.wav,NA,NA,NA,NA,NA,m,1,17-178-2-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,?,b,178,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,21,21,NA,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-180-2-1-a.wav,NA,NA,NA,NA,NA,m,1,17-180-2-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,?,b,180,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,22,22,NA,1958,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-181-1-1-a.wav,NA,NA,NA,NA,NA,f,1,17-181-1-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,?,b,181,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,23,23,NA,1935,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-182-2-1-a.wav,NA,NA,NA,NA,NA,f,1,17-182-2-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,?,b,182,die haarbuerste,di? ha????b??st?,?
0.071,0.566,17-187-1-1-a,5500 Hz,NA,10,0.495,24,24,?,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-1-a.wav,893.38,1659.22,2597.03,185.43,0.543,f,1,17-187-1-1-a.wav,a hairbrush ,17,doss,808.53,1662.41,2635.62,180.21,0.519,?,b,187,die haarbuerste,di? ha????b??st?,?
0.058,0.458,5-113-2-1-a,5500 Hz,NA,10,0.4,25,25,?,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/5-113-2-1-a.wav,581.41,1689.83,2366.99,139.46,0.439,m,1,5-113-2-1-a.wav,a hairbrush ,5,doss,567.97,1784.24,2382.94,144.04,0.419,?,b,113,die haarbuerste,di? ha????b??st?,?
0.085,0.739,3-96-2-1-a,5500 Hz,NA,10,0.654,26,26,?,1923,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/3-96-2-1-a.wav,527.85,1723.23,2038.31,139.61,0.711,m,1,3-96-2-1-a.wav,a hairbrush ,3,floresville,485.8,1720.2,2126.95,141.96,0.682,?,b,96,die haarbuerste,di? ha????b??st?,?
0.038,0.402,3-98-2-1-a,5500 Hz,NA,10,0.364,27,27,?,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/3-98-2-1-a.wav,569.57,1675.61,2903.84,208.76,0.39,f,1,3-98-2-1-a.wav,a hairbrush ,3,floresville,573.84,1646.93,2817.57,207.45,0.377,?,b,98,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,28,28,NA,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/51-283-3-1-a.wav,NA,NA,NA,NA,NA,f,1,51-283-3-1-a.wav,a hairbrush ,51,floresville,NA,NA,NA,NA,NA,?,b,283,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,29,29,NA,1945,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-199-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-199-2-1-a.wav,a hairbrush ,1,fredericksburg,NA,NA,NA,NA,NA,?,b,199,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,30,30,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-397-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-397-2-1-a.wav,a hairbrush ,1,fredericksburg,NA,NA,NA,NA,NA,?,b,397,die haarbuerste,di? ha????b??st?,?
0.083,0.882,1-403-2-1-a,5500 Hz,NA,10,0.798,31,31,?,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-403-2-1-a.wav,591.83,1662.93,2527.89,118.8,0.854,m,1,1-403-2-1-a.wav,a hairbrush ,1,fredericksburg,587.87,1600.73,2375.33,117.32,0.826,?,b,403,die haarbuerste,di? ha????b??st?,?
0.073,1.028,105-404-1-1-a,5500 Hz,NA,10,0.954,32,32,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/105-404-1-1-a.wav,787.32,1843.13,2486.72,--undefined--,1.003,f,1,105-404-1-1-a.wav,a hairbrush ,105,fredericksburg,770.34,2177.48,2809.94,196.32,0.979,?,b,404,die haarbuerste,di? ha????b??st?,?
0.067,0.804,107-405-2-1-a,5500 Hz,NA,10,0.736,33,33,?,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/107-405-2-1-a.wav,556.86,2094.76,2785.72,116.04,0.781,m,1,107-405-2-1-a.wav,a hairbrush ,107,fredericksburg,476.46,2048.9,2759.94,120.69,0.759,?,b,405,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,34,34,NA,1947,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/108-406-1-1-a.wav,NA,NA,NA,NA,NA,m,1,108-406-1-1-a.wav,a hairbrush ,108,fredericksburg,NA,NA,NA,NA,NA,?,b,406,die haarbuerste,di? ha????b??st?,?
0.071,0.744,110-407-2-1-a,5500 Hz,NA,10,0.672,35,35,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-1-a.wav,777.38,2079.93,2837.63,79.82,0.72,f,1,110-407-2-1-a.wav,a hairbrush ,110,fredericksburg,643.05,2223.44,2976.41,79.81,0.696,?,b,407,die haarbuerste,di? ha????b??st?,?
0.094,1.083,110-408-1-1-a,5500 Hz,NA,10,0.989,36,36,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-1-a.wav,498.81,2253.6,2804.99,155.83,1.052,f,1,110-408-1-1-a.wav,a hairbrush ,110,fredericksburg,482.99,2296.72,2852.69,161.97,1.02,?,b,408,die haarbuerste,di? ha????b??st?,?
0.074,2.697,111-410-1-1-a,5500 Hz,NA,10,2.623,37,37,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/111-410-1-1-a.wav,844.32,2333.26,2440.91,195.1,2.673,f,1,111-410-1-1-a.wav,a hairbrush ,111,fredericksburg,696.78,2295.09,2472.02,190.37,2.648,?,b,410,die haarbuerste,di? ha????b??st?,?
0.075,0.534,17-185-1-1-a,5500 Hz,NA,10,0.46,38,38,?,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-1-a.wav,727.28,1717.54,2525.97,--undefined--,0.509,m,1,17-185-1-1-a.wav,a hairbrush ,17,fredericksburg,543.6,1725.14,2442.3,--undefined--,0.485,?,b,185,die haarbuerste,di? ha????b??st?,?
0.057,1.121,23-224-1-1-a,5500 Hz,NA,10,1.063,39,39,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/23-224-1-1-a.wav,506.54,1995.04,2348.88,104.07,1.102,m,1,23-224-1-1-a.wav,a hairbrush ,23,fredericksburg,471.82,2040.24,2329.49,113.12,1.082,?,b,224,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,40,40,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-1-a.wav,NA,NA,NA,NA,NA,m,1,29-226-2-1-a.wav,a hairbrush ,29,fredericksburg,NA,NA,NA,NA,NA,?,b,226,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,41,41,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-1-a.wav,NA,NA,NA,NA,NA,f,1,53-398-1-1-a.wav,a hairbrush ,53,fredericksburg,NA,NA,NA,NA,NA,?,b,398,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,42,42,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-401-1-1-a.wav,NA,NA,NA,NA,NA,f,1,53-401-1-1-a.wav,a hairbrush ,53,fredericksburg,NA,NA,NA,NA,NA,?,b,401,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,43,43,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-1-a.wav,NA,NA,NA,NA,NA,f,1,53-402-1-1-a.wav,a hairbrush ,53,fredericksburg,NA,NA,NA,NA,NA,?,b,402,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,44,44,NA,1949,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/58-369-1-1-a.wav,NA,NA,NA,NA,NA,m,1,58-369-1-1-a.wav,a hairbrush ,58,fredericksburg,NA,NA,NA,NA,NA,?,b,369,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,45,45,NA,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/58-370-1-1-a.wav,NA,NA,NA,NA,NA,m,1,58-370-1-1-a.wav,a hairbrush ,58,fredericksburg,NA,NA,NA,NA,NA,?,b,370,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,46,46,NA,1945,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/60-367-1-1-a.wav,NA,NA,NA,NA,NA,m,1,60-367-1-1-a.wav,a hairbrush ,60,fredericksburg,NA,NA,NA,NA,NA,?,b,367,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,47,47,NA,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/60-368-3-1-a.wav,NA,NA,NA,NA,NA,m,1,60-368-3-1-a.wav,a hairbrush ,60,fredericksburg,NA,NA,NA,NA,NA,?,b,368,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,48,48,NA,1939,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/62-365-2-1-a.wav,NA,NA,NA,NA,NA,f,1,62-365-2-1-a.wav,a hairbrush ,62,fredericksburg,NA,NA,NA,NA,NA,?,b,365,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,49,49,NA,1947,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/1-164-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-164-2-1-a.wav,a hairbrush ,1,freyburg/black jack,NA,NA,NA,NA,NA,?,b,164,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,50,50,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/1-175-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-175-2-1-a.wav,a hairbrush ,1,freyburg/schulenburg,NA,NA,NA,NA,NA,?,b,175,die haarbuerste,di? ha????b??st?,?
0.1,0.427,112-436-2-1-a,5500 Hz,NA,10,0.327,51,51,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/112-436-2-1-a.wav,465.76,1828.6,2271.51,108.51,0.393,m,1,112-436-2-1-a.wav,a hairbrush ,112,"giddings, tx",453,1929.23,2347.57,108.82,0.36,?,b,436,die haarbuerste,di? ha????b??st?,?
0.049,2.372,115-437-2-1-a,5500 Hz,NA,10,2.323,52,52,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/115-437-2-1-a.wav,422.81,1699.59,2077.25,207.47,2.355,f,1,115-437-2-1-a.wav,a hairbrush ,115,"giddings, tx",411.99,1669.08,2016.95,203.15,2.339,?,b,437,die haarbuerste,di? ha????b??st?,?
0.095,1.686,115-438-2-1-a,5500 Hz,NA,10,1.59,53,53,?,1925,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/115-438-2-1-a.wav,536.78,1262.03,2002.06,202.96,1.654,f,1,115-438-2-1-a.wav,a hairbrush ,115,"giddings, tx",435.98,1829.15,1936.29,206.97,1.622,?,b,438,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,54,54,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-313-2-1-a.wav,NA,NA,NA,NA,NA,m,1,7-313-2-1-a.wav,a hairbrush ,7,giddings,NA,NA,NA,NA,NA,?,b,313,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,55,55,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-323-3-1-a.wav,NA,NA,NA,NA,NA,f,1,7-323-3-1-a.wav,a hairbrush ,7,giddings,NA,NA,NA,NA,NA,?,b,323,die haarbuerste,di? ha????b??st?,?
0.101,0.881,7-326-2-1-a,5500 Hz,NA,10,0.78,56,56,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-326-2-1-a.wav,447.49,1631.58,2647.44,87,0.847,m,1,7-326-2-1-a.wav,a hairbrush ,7,gidings,455.89,1610.59,2445.84,88.82,0.814,?,b,326,die haarbuerste,di? ha????b??st?,?
0.107,0.719,7-329-1-1-a,5500 Hz,NA,10,0.611,57,57,?,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-329-1-1-a.wav,525.06,1347.21,2503.02,75.18,0.683,f,1,7-329-1-1-a.wav,a hairbrush ,7,giddings,498.61,1389.71,2592.34,159.01,0.647,?,b,329,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,58,58,NA,1918,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-192-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-192-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,?,b,192,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,59,59,NA,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-193-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-193-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,?,b,193,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,60,60,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-194-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-194-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,?,b,194,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,61,61,NA,1919,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-195-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-195-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,?,b,195,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,62,62,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-196-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-196-2-1-a.wav,a hairbrush ,1,lagrange,NA,NA,NA,NA,NA,?,b,196,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,63,63,NA,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/51-286-2-1-a.wav,NA,NA,NA,NA,NA,m,1,51-286-2-1-a.wav,a hairbrush ,51,la grange,NA,NA,NA,NA,NA,?,b,286,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,64,64,NA,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/53-286-2-1-a.wav,NA,NA,NA,NA,NA,m,1,53-286-2-1-a.wav,a hairbrush ,53,la grange,NA,NA,NA,NA,NA,?,b,286,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,65,65,NA,1923,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-125-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-125-2-1-a.wav,a hairbrush ,1,new braunfels,NA,NA,NA,NA,NA,?,b,125,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,66,66,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-158-1-1-a.wav,NA,NA,NA,NA,NA,f,1,1-158-1-1-a.wav,a hairbrush ,1,new braunfels,NA,NA,NA,NA,NA,?,b,158,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,67,67,NA,1910,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-167-3-1-a.wav,NA,NA,NA,NA,NA,m,1,1-167-3-1-a.wav,a hairbrush ,1,new braunfels,NA,NA,NA,NA,NA,?,b,167,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,68,68,NA,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-169-3-1-a.wav,NA,NA,NA,NA,NA,f,1,1-169-3-1-a.wav,a hairbrush ,1,new braunfels,NA,NA,NA,NA,NA,?,b,169,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,69,69,NA,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-170-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-170-2-1-a.wav,a hairbrush ,1,new braunfels,NA,NA,NA,NA,NA,?,b,170,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,70,70,NA,1915,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-24-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-24-2-1-a.wav,a hairbrush ,1,new braunfels,NA,NA,NA,NA,NA,?,b,24,die haarbuerste,di? ha????b??st?,?
0.082,0.976,1-25-3-1-a,5500 Hz,NA,10,0.895,71,71,?,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-25-3-1-a.wav,483.97,1583.86,2441.66,119.73,0.949,m,1,1-25-3-1-a.wav,a hairbrush ,1,new braunfels,476.49,1595.94,2477.91,117.19,0.922,?,b,25,die haarbuerste,di? ha????b??st?,?
NA,NA,NA,NA,NA,NA,NA,72,72,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-30-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-30-2-1-a.wav,a hairbrush ,1,new braunfels,NA,NA,NA,NA,NA,?,b,30,die haarbuerste,di? ha????b??st?,?
0.067,0.857,1-32-2-1-a,5500 Hz,NA,10,0.79,73,73,?,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/new braunfels/gilbert/1-32-2-1-a.wav,422.72,1655.79,2167.31,140.07,0.835,m,1,1-32-2-1-a.wav,a hairbrush ,1,new braunfels,406.9,1687.47,2266.9,142.5,0.812,?,b,32,die haarbuerste,di? ha????b??st?,?
