Dur,End,File/Spkr,MaxFormants,Notes,NumberPoles,Start,Unnamed: 0,Unnamed: 0.1,Vowel,dob,file_name,gF1,gF2,gF3,gPitch,gTime,gender,gilbert_number,id,input_form,iver_number,location,oF1,oF2,oF3,oPitch,oTime,post_sound,pre_sound,speaker_number,target_form,transcription,variable
0.136,0.573,10-139-2-1-a,5500 Hz,NA,10.0,0.436,0,0.0,ʏ,1941,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/10-139-2-1-a.wav,613.64,1579.34,2164.55,88.44,0.527,m,1,10-139-2-1-a.wav,a hairbrush ,10,bulverde,519.0,1894.37,2526.94,89.31,0.482,ʁ,b,139,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,1,1.0,NA,1948,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-134-2-1-a.wav,NA,NA,NA,NA,NA,f,1,9-134-2-1-a.wav,a hairbrush ,9,bulverde,NA,NA,NA,NA,NA,ʁ,b,134,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.106,1.035,9-151-1-1-a,5500 Hz,NA,10.0,0.929,2,2.0,ʏ,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-151-1-1-a.wav,616.08,1684.74,2533.88,87.03,1.0,f,1,9-151-1-1-a.wav,a hairbrush ,9,bulverde,583.5,1866.61,2563.61,90.29,0.964,ʁ,b,151,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,3,3.0,NA,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/bulverde/gilbert/9-153-1-1-a.wav,NA,NA,NA,NA,NA,m,1,9-153-1-1-a.wav,a hairbrush ,9,bulverde,NA,NA,NA,NA,NA,ʁ,b,153,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.098,1.09,120-449-2-1-a,5500 Hz,NA,10.0,0.992,4,4.0,ʏ,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/120-449-2-1-a.wav,394.77,2250.46,2823.97,186.56,1.057,f,1,120-449-2-1-a.wav,a hairbrush ,120,columbus,405.46,2200.92,2878.98,192.27,1.025,ʁ,b,449,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,5,5.0,NA,1926,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/columbus/gilbert/121-453-2-1-a.wav,NA,NA,NA,NA,NA,f,1,121-453-2-1-a.wav,a hairbrush ,121,columbus,NA,NA,NA,NA,NA,ʁ,b,453,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,6,6.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-141-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-141-2-1-a.wav,a hairbrush ,1,comfort,NA,NA,NA,NA,NA,ʁ,b,141,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,7,7.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/1-142-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-142-2-1-a.wav,a hairbrush ,1,comfort,NA,NA,NA,NA,NA,ʁ,b,142,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.08,0.229,10-147-1-1-a,5500 Hz,NA,10.0,0.149,8,8.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-147-1-1-a.wav,445.49,1723.07,2259.87,--undefined--,0.203,m,1,10-147-1-1-a.wav,a hairbrush ,10,comfort,385.85,1901.44,2280.65,--undefined--,0.176,ʁ,b,147,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,9,9.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/comfort/gilbert/10-149-1-1-a.wav,NA,NA,NA,NA,NA,m,1,10-149-1-1-a.wav,a hairbrush ,10,comfort,NA,NA,NA,NA,NA,ʁ,b,149,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.113,0.813,1-391-2-1-a,5500 Hz,NA,10.0,0.7,10,10.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/1-391-2-1-a.wav,522.1,1626.04,2305.83,128.44,0.776,m,1,1-391-2-1-a.wav,a hairbrush ,1,converse,460.56,1932.02,2361.05,139.10,0.738,ʁ,b,391,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,11,11.0,NA,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/1-392-1-1-a.wav,NA,NA,NA,NA,NA,m,1,1-392-1-1-a.wav,a hairbrush ,1,converse,NA,NA,NA,NA,NA,ʁ,b,392,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.099,0.493,102-395-2-1-a,5500 Hz,NA,10.0,0.394,12,12.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/102-395-2-1-a.wav,448.58,1478.11,1987.61,168.83,0.46,m,1,102-395-2-1-a.wav,a hairbrush ,102,converse,410.53,1692.38,2046.97,151.65,0.427,ʁ,b,395,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,13,13.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/converse/gilbert/60-445-2-1-a.wav,NA,NA,NA,NA,NA,f,1,60-445-2-1-a.wav,a hairbrush ,60,"converse, tx",NA,NA,NA,NA,NA,ʁ,b,445,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,14,14.0,NA,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-114-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-114-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,ʁ,b,114,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,15,15.0,NA,1959,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-179-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-179-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,ʁ,b,179,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,16,16.0,NA,1940,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-183-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-183-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,ʁ,b,183,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,17,17.0,NA,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/1-56-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-56-2-1-a.wav,a hairbrush ,1,doss,NA,NA,NA,NA,NA,ʁ,b,56,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,18,18.0,NA,1922,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-176-1-1-a.wav,NA,NA,NA,NA,NA,m,1,17-176-1-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,ʁ,b,176,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,19,19.0,NA,1934,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-177-1-1-a.wav,NA,NA,NA,NA,NA,m,1,17-177-1-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,ʁ,b,177,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,20,20.0,NA,1930,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-178-2-1-a.wav,NA,NA,NA,NA,NA,m,1,17-178-2-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,ʁ,b,178,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,21,21.0,NA,1927,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-180-2-1-a.wav,NA,NA,NA,NA,NA,m,1,17-180-2-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,ʁ,b,180,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,22,22.0,NA,1958,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-181-1-1-a.wav,NA,NA,NA,NA,NA,f,1,17-181-1-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,ʁ,b,181,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,23,23.0,NA,1935,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-182-2-1-a.wav,NA,NA,NA,NA,NA,f,1,17-182-2-1-a.wav,a hairbrush ,17,doss,NA,NA,NA,NA,NA,ʁ,b,182,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.071,0.566,17-187-1-1-a,5500 Hz,NA,10.0,0.495,24,24.0,ʏ,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/17-187-1-1-a.wav,893.38,1659.22,2597.03,185.43,0.543,f,1,17-187-1-1-a.wav,a hairbrush ,17,doss,808.53,1662.41,2635.62,180.21,0.519,ʁ,b,187,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.058,0.458,5-113-2-1-a,5500 Hz,NA,10.0,0.4,25,25.0,ʏ,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/doss/gilbert/5-113-2-1-a.wav,581.41,1689.83,2366.99,139.46,0.439,m,1,5-113-2-1-a.wav,a hairbrush ,5,doss,567.97,1784.24,2382.94,144.04,0.419,ʁ,b,113,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.085,0.739,3-96-2-1-a,5500 Hz,NA,10.0,0.654,26,26.0,ʏ,1923,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/3-96-2-1-a.wav,527.85,1723.23,2038.31,139.61,0.711,m,1,3-96-2-1-a.wav,a hairbrush ,3,floresville,485.8,1720.2,2126.95,141.96,0.682,ʁ,b,96,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.038,0.402,3-98-2-1-a,5500 Hz,NA,10.0,0.364,27,27.0,ʏ,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/3-98-2-1-a.wav,569.57,1675.61,2903.84,208.76,0.39,f,1,3-98-2-1-a.wav,a hairbrush ,3,floresville,573.84,1646.93,2817.57,207.45,0.377,ʁ,b,98,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,28,28.0,NA,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/floresville/gilbert/51-283-3-1-a.wav,NA,NA,NA,NA,NA,f,1,51-283-3-1-a.wav,a hairbrush ,51,floresville,NA,NA,NA,NA,NA,ʁ,b,283,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,29,29.0,NA,1945,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-199-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-199-2-1-a.wav,a hairbrush ,1,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,199,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,30,30.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-397-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-397-2-1-a.wav,a hairbrush ,1,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,397,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.083,0.882,1-403-2-1-a,5500 Hz,NA,10.0,0.798,31,31.0,ʏ,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/1-403-2-1-a.wav,591.83,1662.93,2527.89,118.80,0.854,m,1,1-403-2-1-a.wav,a hairbrush ,1,fredericksburg,587.87,1600.73,2375.33,117.32,0.826,ʁ,b,403,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.073,1.028,105-404-1-1-a,5500 Hz,NA,10.0,0.954,32,32.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/105-404-1-1-a.wav,787.32,1843.13,2486.72,--undefined--,1.003,f,1,105-404-1-1-a.wav,a hairbrush ,105,fredericksburg,770.34,2177.48,2809.94,196.32,0.979,ʁ,b,404,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.067,0.804,107-405-2-1-a,5500 Hz,NA,10.0,0.736,33,33.0,ʏ,1928,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/107-405-2-1-a.wav,556.86,2094.76,2785.72,116.04,0.781,m,1,107-405-2-1-a.wav,a hairbrush ,107,fredericksburg,476.46,2048.9,2759.94,120.69,0.759,ʁ,b,405,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,34,34.0,NA,1947,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/108-406-1-1-a.wav,NA,NA,NA,NA,NA,m,1,108-406-1-1-a.wav,a hairbrush ,108,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,406,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.071,0.744,110-407-2-1-a,5500 Hz,NA,10.0,0.672,35,35.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-407-2-1-a.wav,777.38,2079.93,2837.63,79.82,0.72,f,1,110-407-2-1-a.wav,a hairbrush ,110,fredericksburg,643.05,2223.44,2976.41,79.81,0.696,ʁ,b,407,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.094,1.083,110-408-1-1-a,5500 Hz,NA,10.0,0.989,36,36.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/110-408-1-1-a.wav,498.81,2253.6,2804.99,155.83,1.052,f,1,110-408-1-1-a.wav,a hairbrush ,110,fredericksburg,482.99,2296.72,2852.69,161.97,1.02,ʁ,b,408,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.074,2.697,111-410-1-1-a,5500 Hz,NA,10.0,2.623,37,37.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/111-410-1-1-a.wav,844.32,2333.26,2440.91,195.10,2.673,f,1,111-410-1-1-a.wav,a hairbrush ,111,fredericksburg,696.78,2295.09,2472.02,190.37,2.648,ʁ,b,410,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.075,0.534,17-185-1-1-a,5500 Hz,NA,10.0,0.46,38,38.0,ʏ,1924,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/17-185-1-1-a.wav,727.28,1717.54,2525.97,--undefined--,0.509,m,1,17-185-1-1-a.wav,a hairbrush ,17,fredericksburg,543.6,1725.14,2442.3,--undefined--,0.485,ʁ,b,185,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.057,1.121,23-224-1-1-a,5500 Hz,NA,10.0,1.063,39,39.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/23-224-1-1-a.wav,506.54,1995.04,2348.88,104.07,1.102,m,1,23-224-1-1-a.wav,a hairbrush ,23,fredericksburg,471.82,2040.24,2329.49,113.12,1.082,ʁ,b,224,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,40,40.0,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/29-226-2-1-a.wav,NA,NA,NA,NA,NA,m,1,29-226-2-1-a.wav,a hairbrush ,29,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,226,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,41,41.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-398-1-1-a.wav,NA,NA,NA,NA,NA,f,1,53-398-1-1-a.wav,a hairbrush ,53,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,398,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,42,42.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-401-1-1-a.wav,NA,NA,NA,NA,NA,f,1,53-401-1-1-a.wav,a hairbrush ,53,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,401,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,43,43.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/53-402-1-1-a.wav,NA,NA,NA,NA,NA,f,1,53-402-1-1-a.wav,a hairbrush ,53,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,402,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,44,44.0,NA,1949,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/58-369-1-1-a.wav,NA,NA,NA,NA,NA,m,1,58-369-1-1-a.wav,a hairbrush ,58,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,369,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,45,45.0,NA,1943,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/58-370-1-1-a.wav,NA,NA,NA,NA,NA,m,1,58-370-1-1-a.wav,a hairbrush ,58,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,370,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,46,46.0,NA,1945,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/60-367-1-1-a.wav,NA,NA,NA,NA,NA,m,1,60-367-1-1-a.wav,a hairbrush ,60,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,367,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,47,47.0,NA,1933,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/60-368-3-1-a.wav,NA,NA,NA,NA,NA,m,1,60-368-3-1-a.wav,a hairbrush ,60,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,368,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,48,48.0,NA,1939,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/fredericksburg/gilbert/62-365-2-1-a.wav,NA,NA,NA,NA,NA,f,1,62-365-2-1-a.wav,a hairbrush ,62,fredericksburg,NA,NA,NA,NA,NA,ʁ,b,365,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,49,49.0,NA,1947,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/1-164-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-164-2-1-a.wav,a hairbrush ,1,freyburg/black jack,NA,NA,NA,NA,NA,ʁ,b,164,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,50,50.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/freyburg/gilbert/1-175-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-175-2-1-a.wav,a hairbrush ,1,freyburg/schulenburg,NA,NA,NA,NA,NA,ʁ,b,175,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.1,0.427,112-436-2-1-a,5500 Hz,NA,10.0,0.327,51,51.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/112-436-2-1-a.wav,465.76,1828.6,2271.51,108.51,0.393,m,1,112-436-2-1-a.wav,a hairbrush ,112,"giddings, tx",453.0,1929.23,2347.57,108.82,0.36,ʁ,b,436,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.049,2.372,115-437-2-1-a,5500 Hz,NA,10.0,2.323,52,52.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/115-437-2-1-a.wav,422.81,1699.59,2077.25,207.47,2.355,f,1,115-437-2-1-a.wav,a hairbrush ,115,"giddings, tx",411.99,1669.08,2016.95,203.15,2.339,ʁ,b,437,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.095,1.686,115-438-2-1-a,5500 Hz,NA,10.0,1.59,53,53.0,ʏ,1925,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/115-438-2-1-a.wav,536.78,1262.03,2002.06,202.96,1.654,f,1,115-438-2-1-a.wav,a hairbrush ,115,"giddings, tx",435.98,1829.15,1936.29,206.97,1.622,ʁ,b,438,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,54,54.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-313-2-1-a.wav,NA,NA,NA,NA,NA,m,1,7-313-2-1-a.wav,a hairbrush ,7,giddings,NA,NA,NA,NA,NA,ʁ,b,313,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,55,55.0,NA,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-323-3-1-a.wav,NA,NA,NA,NA,NA,f,1,7-323-3-1-a.wav,a hairbrush ,7,giddings,NA,NA,NA,NA,NA,ʁ,b,323,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.101,0.881,7-326-2-1-a,5500 Hz,NA,10.0,0.78,56,56.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-326-2-1-a.wav,447.49,1631.58,2647.44,87.00,0.847,m,1,7-326-2-1-a.wav,a hairbrush ,7,gidings,455.89,1610.59,2445.84,88.82,0.814,ʁ,b,326,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
0.107,0.719,7-329-1-1-a,5500 Hz,NA,10.0,0.611,57,57.0,ʏ,0,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/giddings/gilbert/7-329-1-1-a.wav,525.06,1347.21,2503.02,75.18,0.683,f,1,7-329-1-1-a.wav,a hairbrush ,7,giddings,498.61,1389.71,2592.34,159.01,0.647,ʁ,b,329,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,58,58.0,NA,1918,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-192-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-192-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,ʁ,b,192,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,59,59.0,NA,1932,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-193-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-193-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,ʁ,b,193,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,60,60.0,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-194-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-194-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,ʁ,b,194,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,61,61.0,NA,1919,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-195-2-1-a.wav,NA,NA,NA,NA,NA,m,1,1-195-2-1-a.wav,a hairbrush ,1,la grange,NA,NA,NA,NA,NA,ʁ,b,195,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
NA,NA,NA,NA,NA,NA,NA,62,62.0,NA,1936,/Users/ps22344/Desktop/txgdp_by_location_more_than_3_spkrs/la grange/gilbert/1-196-2-1-a.wav,NA,NA,NA,NA,NA,f,1,1-196-2-1-a.wav,a hairbrush ,1,lagrange,NA,NA,NA,NA,NA,ʁ,b,196,die haarbuerste,diː haːɐ̯ˈbʏʁstə,ʏ
